HIVE Lighting LIFI-STA-40-02
Measured with: ,
Date measured: ,
File generated on: ,July 31,2012 11:31:40 PM

CCT: ,5305.9
XYZt: ,0.96342,1.00000,0.89337

wavelength (nanometers),power (peak normalized)
745, 0.19676
746, 0.19643
747, 0.19511
748, 0.19543
749, 0.19453
750, 0.19476
751, 0.19360
752, 0.19049
753, 0.18999
754, 0.20508
755, 0.22482
756, 0.23837
757, 0.24715
758, 0.23748
759, 0.22905
760, 0.22288
761, 0.21871
762, 0.21747
763, 0.21638
764, 0.21632
765, 0.22389
766, 0.23186
767, 0.23869
768, 0.24839
769, 0.24725
770, 0.24786
771, 0.24873
772, 0.23469
773, 0.22033
774, 0.20010
775, 0.18937
776, 0.18152
777, 0.17460
778, 0.16749
779, 0.16163
780, 0.16171
781, 0.17332
782, 0.18195
783, 0.18820
784, 0.18496
785, 0.17266
786, 0.16275
787, 0.15487
788, 0.15098
789, 0.14883
790, 0.14162
791, 0.13619
792, 0.12990
793, 0.13024
794, 0.13134
795, 0.13296
796, 0.13538
797, 0.13654
798, 0.13739
799, 0.13322
800, 0.13114
801, 0.12870
802, 0.12675
803, 0.12808
804, 0.12704
805, 0.12438
806, 0.12388
807, 0.12302
808, 0.13228
809, 0.16749
810, 0.18061
811, 0.17986
812, 0.15712
813, 0.13330
814, 0.12214
815, 0.11996
816, 0.12056
817, 0.12187
818, 0.12188
819, 0.11744
820, 0.11616
821, 0.11346
822, 0.11255
823, 0.11174
824, 0.10916
825, 0.10914
826, 0.10822
827, 0.11000
828, 0.10752
829, 0.10898
830, 0.10829
831, 0.10779
832, 0.10981
833, 0.11038
834, 0.11030
835, 0.10681
836, 0.10561
837, 0.10298
838, 0.10336
839, 0.10595
840, 0.10612
841, 0.10630
842, 0.10256
843, 0.10268
844, 0.10106
845, 0.10355
846, 0.09997
847, 0.10136
848, 0.10230
849, 0.10628
850, 0.12171
851, 0.13119
852, 0.13547
853, 0.13135
854, 0.11525
855, 0.10708
856, 0.09957
857, 0.10003
858, 0.10325
859, 0.10544
860, 0.10752
861, 0.10249
862, 0.10229
863, 0.10036
864, 0.09844
865, 0.10764
866, 0.12689
867, 0.14034
868, 0.13995
869, 0.12692
870, 0.11314
871, 0.10407
872, 0.10269
873, 0.10158
874, 0.09954
875, 0.09901
876, 0.10385
877, 0.10130
878, 0.09678
879, 0.09654
880, 0.09272
881, 0.09983
882, 0.10625
883, 0.11038
884, 0.10749
885, 0.10509
886, 0.09893
887, 0.10243
888, 0.10153
889, 0.09766
890, 0.09095
891, 0.09093
892, 0.08957
893, 0.09434
894, 0.09204
895, 0.09446
896, 0.09342
897, 0.08442
898, 0.08456
899, 0.08088
900, 0.09279
901, 0.09313
902, 0.08716
903, 0.08155
904, 0.07592
905, 0.07890
906, 0.07586
907, 0.07258
908, 0.07887
909, 0.08409
910, 0.08883
911, 0.08465
912, 0.08649
913, 0.08557
914, 0.08293
915, 0.08263
916, 0.08039
917, 0.07830
918, 0.07733
919, 0.07778
920, 0.07899
921, 0.07583
922, 0.08362
923, 0.08715
924, 0.08403
925, 0.09462
926, 0.09070
927, 0.08196
928, 0.07571
929, 0.07112
930, 0.07690
931, 0.08573
932, 0.08971
933, 0.10099
934, 0.10161
935, 0.09769
936, 0.10311
937, 0.09319
938, 0.08433
939, 0.07916
940, 0.08844
941, 0.08325
942, 0.10154
943, 0.08671
944, 0.10045
945, 0.08522
946, 0.08745
947, 0.07808
948, 0.08064
949, 0.08306
950, 0.09411
951, 0.09565
952, 0.10479
953, 0.08273
954, 0.08911
955, 0.09641
956, 0.10617
957, 0.10404
958, 0.09084
959, 0.06452
960, 0.06084
961, 0.06067
962, 0.06502
963, 0.06842
964, 0.10998
965, 0.16286
966, 0.15512
967, 0.14248
968, 0.10634
969, 0.12015
970, 0.12806
971, 0.15379
972, 0.15059
973, 0.10739
974, 0.07563
975, 0.06423
976, 0.05546
977, 0.09740
978, 0.12383
979, 0.14782
980, 0.13107
981, 0.14021
982, 0.14815
983, 0.15249
984, 0.19169
985, 0.19537
986, 0.22923
987, 0.21294
988, 0.16955
989, 0.14750
990, 0.12944
991, 0.12557
992, 0.08165
993, 0.02468
994, 0.00000
995, 0.04558
996, 0.06645
997, 0.11820
998, 0.14821
999, 0.14526
1000, 0.16355
