Bailey Patent Application - 2850
Measured with: ,extracted using GraphClick
Date measured: ,unknown
File generated on: ,July 31,2012 11:31:40 PM

CCT: ,2865.2
XYZt: ,1.10510,1.00000,0.38367

wavelength (nanometers),power (peak normalized)
380, 0.00017
382, 0.00151
384, 0.00204
386, 0.00204
388, 0.00204
390, 0.00204
392, 0.00199
394, 0.00064
396, 0.00064
398, 0.00065
400, 0.00065
402, 0.00204
404, 0.00204
406, 0.00075
408, 0.00076
410, 0.00077
412, 0.00078
414, 0.00080
416, 0.00282
418, 0.00483
420, 0.00804
422, 0.01341
424, 0.01767
426, 0.02212
428, 0.02749
430, 0.03393
432, 0.04101
434, 0.04908
436, 0.06067
438, 0.07420
440, 0.09032
442, 0.10978
444, 0.13048
446, 0.15063
448, 0.16900
450, 0.18578
452, 0.19855
454, 0.20333
456, 0.20214
458, 0.19072
460, 0.17813
462, 0.16478
464, 0.15268
466, 0.14205
468, 0.13275
470, 0.12872
472, 0.12670
474, 0.12670
476, 0.13459
478, 0.14634
480, 0.16246
482, 0.18487
484, 0.20632
486, 0.22581
488, 0.24289
490, 0.25365
492, 0.25432
494, 0.24754
496, 0.23792
498, 0.22516
500, 0.21294
502, 0.20202
504, 0.19395
506, 0.18951
508, 0.18682
510, 0.18615
512, 0.18645
514, 0.18768
516, 0.19104
518, 0.19578
520, 0.20138
522, 0.20809
524, 0.21568
526, 0.22365
528, 0.23104
530, 0.23843
532, 0.24604
534, 0.25612
536, 0.26582
538, 0.27517
540, 0.28324
542, 0.29234
544, 0.30242
546, 0.31317
548, 0.32199
550, 0.32871
552, 0.33607
554, 0.34375
556, 0.35182
558, 0.35804
560, 0.36355
562, 0.36826
564, 0.37237
566, 0.37593
568, 0.37862
570, 0.38186
572, 0.38481
574, 0.38682
576, 0.38725
578, 0.38689
580, 0.38555
582, 0.38521
584, 0.38475
586, 0.38274
588, 0.38072
590, 0.37871
592, 0.37669
594, 0.37468
596, 0.37295
598, 0.37295
600, 0.37295
602, 0.37315
604, 0.37516
606, 0.37951
608, 0.38576
610, 0.39516
612, 0.41179
614, 0.43471
616, 0.46225
618, 0.49945
620, 0.54647
622, 0.61772
624, 0.68961
626, 0.76151
628, 0.85846
630, 0.94088
632, 1.00000
634, 0.96215
636, 0.88908
638, 0.69443
640, 0.50774
642, 0.46070
644, 0.40070
646, 0.33213
648, 0.28981
650, 0.25349
652, 0.22266
654, 0.20519
656, 0.19000
658, 0.17723
660, 0.16576
662, 0.15523
664, 0.14583
666, 0.13766
668, 0.13041
670, 0.12436
672, 0.11891
674, 0.11329
676, 0.10724
678, 0.10120
680, 0.09579
682, 0.09176
684, 0.08666
686, 0.08166
688, 0.07762
690, 0.07410
692, 0.07090
694, 0.06821
696, 0.06457
698, 0.06092
700, 0.05890
702, 0.05734
704, 0.05570
706, 0.05234
708, 0.04982
710, 0.04781
712, 0.04579
714, 0.04377
716, 0.04185
718, 0.04118
720, 0.03977
722, 0.03777
724, 0.03643
726, 0.03475
728, 0.03273
730, 0.03072
732, 0.02932
734, 0.02865
736, 0.02735
738, 0.02600
740, 0.02466
742, 0.02392
744, 0.02350
746, 0.02350
748, 0.02177
750, 0.02044
752, 0.02044
754, 0.01934
756, 0.01819
758, 0.01752
760, 0.01633
762, 0.01533
764, 0.01533
766, 0.01434
768, 0.01300
770, 0.01166
772, 0.01031
774, 0.00920
776, 0.00920
778, 0.00920
780, 0.00000
